,fold_1,fold_2,fold_3,fold_4,fold_5,average
I2,0.0006335609941743314,0.001847050036303699,0.0022728899493813515,0.0,0.001756699988618493,0.001302040193695575
E14,0.0,0.0,0.002171739935874939,0.0,0.004149790038354695,0.0012643059948459268
AE_1,0.0,0.0,0.002418489893898368,0.0,0.0038995598442852497,0.0012636099476367236
E19_rol_mean_20,0.0,0.0,0.006259849877096713,0.0,0.0,0.0012519699754193424
P7_diff1,0.0016517799813300371,0.0,0.00457668979652226,0.0,0.0,0.0012456939555704593
P4_rol_mean_20,0.0,0.0,0.006102399900555611,0.0,0.0,0.001220479980111122
M3,0.0,0.0,0.003504710039123893,0.0,0.0025171900633722544,0.0012043800204992294
AE_8,0.0,0.0017806399846449494,0.004239369882270694,0.0,0.0,0.0012040019733831286
V3,0.0,0.0,0.0031201100209727883,0.0,0.002224070020020008,0.0010688360081985593
P13,0.0010114359902217984,0.0,0.0015825500013306737,0.002570739947259426,0.0,0.0010329451877623796
V4,0.0,0.0,0.0017044499982148409,0.0033898099791258574,0.0,0.0010188519954681396
M8,0.0,0.0,0.004962279926985502,0.0,0.0,0.0009924559853971004
I8,0.0,0.0012664500391110778,0.0036498300032690167,0.0,0.0,0.000983256008476019
S5,0.0,0.0,0.0,0.0028217199724167585,0.00201039994135499,0.0009664239827543497
P4_rol_std_10,0.0,0.0014459999511018395,0.0014726000372320414,0.0019121499499306083,0.0,0.0009661499876528979
S2_rol_rank_30,0.0,0.0,0.0021430300548672676,0.0,0.00254922010935843,0.0009384500328451395
S10,0.0,0.0,0.004672959912568331,0.0,0.0,0.0009345919825136662
E20,0.0,0.0,0.0020676800049841404,0.0023348298855125904,0.0,0.0008805019780993462
P7_rol_rank_30,0.0017417400376871228,0.001080760033801198,0.0,0.0,0.0015791399637237191,0.000880328007042408
M4_rol_std_20,0.0005990010104142129,0.002166599966585636,0.0,0.0016329899663105607,0.0,0.000879718188662082
S2_rol_mean_50,0.001005050027742982,0.0013402800541371107,0.0017657000571489334,0.0,0.0,0.0008222060278058052
E19_rol_std_10,0.0,0.0,0.0018518699798732996,0.002201420022174716,0.0,0.0008106580004096031
E19_x_D5,0.0,0.0011319300392642617,0.0029058799846097827,0.0,0.0,0.0008075620047748089
M4_rol_std_50,0.0,0.002515240106731653,0.0,0.0,0.0014852300519123673,0.0008000940317288042
P7_rol_mean_10,0.0,0.0,0.0019182399846613407,0.0020557900425046682,0.0,0.0007948060054332017
S9,0.0,0.0,0.003845119965262711,0.0,0.0,0.0007690239930525422
P4_rol_mean_10,0.0,0.0,0.0037064600037410855,0.0,0.0,0.0007412920007482171
S2_rol_std_10,0.0004091669979970902,0.0,0.0032433499582111835,0.0,0.0,0.0007305033912416547
AE_9,0.0,0.0,0.003643259988166392,0.0,0.0,0.0007286519976332784
V2,0.0,0.003582680015824735,0.0,0.0,0.0,0.0007165360031649471
P6,0.0017383500235155225,0.0,0.0017505399882793427,0.0,0.0,0.0006977780023589731
E5,0.0,0.0011054499773308635,0.0023617399856448174,0.0,0.0,0.0006934379925951362
P7_x_D8,0.0,0.0,0.0,0.0,0.003230320056900382,0.0006460640113800764
P4_x_D9,0.0,0.0,0.0032133799977600574,0.0,0.0,0.0006426759995520115
I5,0.000504840980283916,0.0,0.0,0.0,0.002624539891257882,0.0006258761743083597
E4,0.0,0.0,0.00296635995618999,0.0,0.0,0.000593271991237998
S2_rol_std_20,0.0006461529992520809,0.0,0.002295810030773282,0.0,0.0,0.0005883926060050726
M4_rol_mean_10,0.0,0.0,0.002882589935325086,0.0,0.0,0.0005765179870650172
E1,0.0,0.0,0.0,0.0,0.0026821698993444443,0.0005364339798688888
I7,0.0,0.0,0.002635830081999302,0.0,0.0,0.0005271660163998603
I6,0.0,0.0,0.002503189956769347,0.0,0.0,0.0005006379913538694
E13,0.0,0.0024206400848925114,0.0,0.0,0.0,0.0004841280169785023
V5,0.0004318289866205305,0.0,0.0,0.001899959985166788,0.0,0.00046635779435746374
AE_5,0.0,0.0,0.0023000799119472504,0.0,0.0,0.0004600159823894501
I3,0.0,0.0,0.0,0.0,0.0022489801049232483,0.00044979602098464965
P1,0.0,0.0,0.0021938299760222435,0.0,0.0,0.0004387659952044487
E19_rol_std_20,0.0,0.0021891400683671236,0.0,0.0,0.0,0.0004378280136734247
S11,0.0,0.0,0.0,0.002163749886676669,0.0,0.0004327499773353338
P8,0.0,0.0,0.0,0.0,0.0021530899684876204,0.00043061799369752406
I4,0.0,0.0,0.0019983199890702963,0.0,0.0,0.00039966399781405927
E9,0.0,0.0,0.0019354299874976277,0.0,0.0,0.00038708599749952554
P10,0.0,0.0,0.0,0.0019249699544161558,0.0,0.0003849939908832312
M17,0.0,0.0,0.0,0.0,0.0019147800048813224,0.0003829560009762645
M11,0.0018855900270864367,0.0,0.0,0.0,0.0,0.00037711800541728735
S2_x_D5,0.0,0.0018623500363901258,0.0,0.0,0.0,0.00037247000727802515
E6,0.0,0.0,0.0,0.0,0.0017968500033020973,0.00035937000066041944
P7_rol_std_50,0.0,0.0,0.001768360030837357,0.0,0.0,0.0003536720061674714
E19_rol_rank_30,0.0,0.001749970018863678,0.0,0.0,0.0,0.0003499940037727356
AE_13,0.0,0.0,0.0,0.0,0.0017266799695789814,0.0003453359939157963
M18,0.0,0.0,0.0016755500109866261,0.0,0.0,0.00033511000219732523
M2,0.0,0.0,0.0,0.0,0.0016712599899619818,0.00033425199799239633
E18,0.0,0.0,0.0,0.0,0.0016528799897059798,0.000330575997941196
S2_rol_mean_10,0.0,0.0,0.0015608100220561028,0.0,0.0,0.00031216200441122057
P4_rol_std_50,0.0,0.0,0.0,0.0015068600187078118,0.0,0.00030137200374156234
AE_0,0.0,0.0014814600581303239,0.0,0.0,0.0,0.0002962920116260648
S6,0.0,0.0,0.0014628299977630377,0.0,0.0,0.0002925659995526075
M4_x_D8,0.0,0.0,0.001436620019376278,0.0,0.0,0.0002873240038752556
E10,0.0,0.0,0.0,0.0014137000543996692,0.0,0.00028274001087993386
S7,0.0,0.001369809964671731,0.0,0.0,0.0,0.0002739619929343462
P2,0.0011545399902388453,0.0,0.0,0.0,0.0,0.00023090799804776908
P4_rol_rank_30,0.000746490026358515,0.0,0.0,0.0,0.0,0.00014929800527170302
E2,0.00043563201325014234,0.0,0.0,0.0,0.0,8.712640265002846e-05
D6,0.0,0.0,0.0,0.0,0.0,0.0
E15,0.0,0.0,0.0,0.0,0.0,0.0
D7,0.0,0.0,0.0,0.0,0.0,0.0
D8,0.0,0.0,0.0,0.0,0.0,0.0
E11,0.0,0.0,0.0,0.0,0.0,0.0
D4,0.0,0.0,0.0,0.0,0.0,0.0
D1,0.0,0.0,0.0,0.0,0.0,0.0
D2,0.0,0.0,0.0,0.0,0.0,0.0
D3,0.0,0.0,0.0,0.0,0.0,0.0
D5,0.0,0.0,0.0,0.0,0.0,0.0
E17,0.0,0.0,0.0,0.0,0.0,0.0
I1,0.0,0.0,0.0,0.0,0.0,0.0
E7,0.0,0.0,0.0,0.0,0.0,0.0
E3,0.0,0.0,0.0,0.0,0.0,0.0
D9,0.0,0.0,0.0,0.0,0.0,0.0
M6,0.0,0.0,0.0,0.0,0.0,0.0
M16,0.0,0.0,0.0,0.0,0.0,0.0
M14,0.0,0.0,0.0,0.0,0.0,0.0
M15,0.0,0.0,0.0,0.0,0.0,0.0
I9,0.0,0.0,0.0,0.0,0.0,0.0
S3,0.0,0.0,0.0,0.0,0.0,0.0
M1,0.0,0.0,0.0,0.0,0.0,0.0
M10,0.0,0.0,0.0,0.0,0.0,0.0
M12,0.0,0.0,0.0,0.0,0.0,0.0
M13,0.0,0.0,0.0,0.0,0.0,0.0
M7,0.0,0.0,0.0,0.0,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0
M4_rol_mean_50,0.0,0.0,0.0,0.0,0.0,0.0
M4_diff1,0.0,0.0,0.0,0.0,0.0,0.0
V6,0.0,0.0,0.0,0.0,0.0,0.0
V8,0.0,0.0,0.0,0.0,0.0,0.0
V1,0.0,0.0,0.0,0.0,0.0,0.0
V10,0.0,0.0,0.0,0.0,0.0,0.0
V11,0.0,0.0,0.0,0.0,0.0,0.0
V12,0.0,0.0,0.0,0.0,0.0,0.0
S4,0.0,0.0,0.0,0.0,0.0,0.0
M4_x_D9,0.0,0.0,0.0,0.0,0.0,0.0
S2_rol_std_50,0.0,0.0,0.0,0.0,0.0,0.0
S2_x_D8,0.0,0.0,0.0,0.0,0.0,0.0
M4_x_D5,0.0,0.0,0.0,0.0,0.0,0.0
P4_rol_mean_50,0.0,0.0,0.0,0.0,0.0,0.0
P4_x_D5,0.0,0.0,0.0,0.0,0.0,0.0
P4_x_D8,0.0,0.0,0.0,0.0,0.0,0.0
E19_rol_mean_50,0.0,0.0,0.0,0.0,0.0,0.0
S2_x_D9,0.0,0.0,0.0,0.0,0.0,0.0
P7_x_D9,0.0,0.0,0.0,0.0,0.0,0.0
P7_x_D5,0.0,0.0,0.0,0.0,0.0,0.0
E19_rol_std_50,0.0,0.0,0.0,0.0,0.0,0.0
E19_x_D9,0.0,0.0,0.0,0.0,0.0,0.0
P7_rol_std_20,0.0,0.0,0.0,0.0,0.0,0.0
E19_x_D8,0.0,0.0,0.0,0.0,0.0,0.0
AE_7,0.0,0.0,0.0,0.0,0.0,0.0
AE_6,0.0,0.0,0.0,0.0,0.0,0.0
AE_4,0.0,0.0,0.0,0.0,0.0,0.0
AE_2,0.0,0.0,0.0,0.0,0.0,0.0
AE_10,0.0,0.0,0.0,0.0,0.0,0.0
AE_12,0.0,0.0,0.0,0.0,0.0,0.0
AE_14,0.0,0.0,0.0,0.0,0.0,0.0
AE_15,0.0,0.0,0.0,0.0,0.0,0.0
