,fold_1,fold_2,fold_3,fold_4,fold_5,average
E18,0.0,0.0,0.2788108978420496,0.0,0.28776484727859497,0.11331514902412891
AE_13,0.0,0.0,0.5455344021320343,0.0,0.0,0.10910688042640686
P4_x_D5,0.0,0.07884400337934494,0.16414710134267807,0.0,0.2905173934996128,0.10670169964432716
P8,0.0,0.0,0.3934418640565127,0.0,0.13901490531861782,0.1064913538750261
I5,0.0,0.0,0.09953475138172507,0.0,0.4229793008416891,0.10450281044468283
E5,0.0,0.0,0.06162389926612377,0.0,0.45662400126457214,0.10364958010613919
V8,0.0,0.0,0.0,0.06475312076508999,0.43393670208752155,0.09973796457052231
P2,0.018074700608849525,0.0,0.2963852025568485,0.0,0.17992599867284298,0.0988771803677082
V6,0.0,0.0,0.0,0.0,0.4342760711442679,0.08685521422885359
P7_x_D8,0.0,0.0,0.2117032017558813,0.0,0.17489930242300034,0.07732050083577632
V9,0.0,0.0,0.0,0.0,0.3140679094940424,0.06281358189880848
M4_x_D5,0.0,0.0,0.11500100046396255,0.0,0.19674649462103844,0.062349499017000196
P4_x_D8,0.0,0.0,0.30667370557785034,0.0,0.0,0.061334741115570066
E19_x_D8,0.0,0.0,0.2023349031805992,0.0,0.08554569631814957,0.057576119899749756
M13,0.0,0.0,0.0,0.0,0.287744402885437,0.0575488805770874
AE_31,0.0,0.0,0.0872868001461029,0.10926400125026703,0.09035210311412811,0.05738058090209961
D1,0.0,0.0,0.2868639975786209,0.0,0.0,0.05737279951572418
V12,0.0,0.0,0.0,0.0,0.2847169069573283,0.05694338139146567
V1,0.0,0.0,0.0,0.0,0.2618995876982808,0.052379917539656165
AE_15,0.0,0.0,0.2583409994840622,0.0,0.0,0.05166819989681244
E19_x_D9,0.0,0.0,0.08880490064620972,0.0,0.0962257981300354,0.03700613975524902
AE_5,0.0,0.0,0.09714049845933914,0.0,0.08312410116195679,0.036052919924259186
S2_x_D5,0.0,0.0,0.14742419868707657,0.0,0.0,0.029484839737415315
