,0
E11_rol_std_30,11.0
I7_rol_mean_5,11.0
I7_diff10,11.0
M18,11.0
I7_rol_mean_60,11.0
I7_rol_std_5,11.0
I7_rol_mean_20,11.0
M17,11.0
M3,11.0
E11_rol_std_60,11.0
M6,11.0
M7,11.0
M14,11.0
M15,11.0
M16,11.0
P9,11.0
I3,11.0
E7,11.0
E3,11.0
M2,11.0
I5,11.0
I6,11.0
I8,11.0
I9,11.0
M1,11.0
M4,11.0
M10,11.0
D2,11.0
I7_rol_mean_30,11.0
